2022 Feb 13 12:00:00                                      stop   service=shell priv-lvl=1 cmd=enable
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=terminal length 0
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=terminal width 32767
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=configure terminal
2022 Feb 13 12:00:01                                      stop   service=shell priv-lvl=15 cmd=interface Management0
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=no ip address
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=no ipv6 address
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=ip address 172.20.20.3/24
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=ipv6 address 2001:172:20:20::3/64
2022 Feb 13 12:00:03                                      stop   service=shell priv-lvl=15 cmd=write
2022 Feb 13 12:00:07                                      stop   service=shell priv-lvl=15 cmd=end
2022 Feb 13 12:00:07                                      stop   service=shell priv-lvl=15 cmd=exit
2022 Feb 13 12:01:21 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Ethernet3
2022 Feb 13 12:01:21 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no shutdown
2022 Feb 13 12:01:21 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=no switchport
2022 Feb 13 12:01:21 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=description rr1 -> x1 [external]
2022 Feb 13 12:01:21 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip address 10.1.0.17/30
2022 Feb 13 12:01:21 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=mac-address 52dc.cafe.0103
2022 Feb 13 12:01:21 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=show session-config diffs
2022 Feb 13 12:01:22 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=commit
2022 Feb 13 12:01:24 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=1 cmd=enable
2022 Feb 13 12:01:24 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=terminal length 0
2022 Feb 13 12:01:25 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=terminal width 512
2022 Feb 13 12:01:26 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=show running-config
2022 Feb 13 12:01:26 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=configure session ansible_1644753686
2022 Feb 13 12:01:26 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=router ospf 1
2022 Feb 13 12:01:26 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=router-id 10.0.0.1
2022 Feb 13 12:01:26 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Loopback0
2022 Feb 13 12:01:26 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip ospf area 0.0.0.0
2022 Feb 13 12:01:26 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Ethernet1
2022 Feb 13 12:01:27 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip ospf area 0.0.0.0
2022 Feb 13 12:01:27 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip ospf network point-to-point
2022 Feb 13 12:01:27 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=interface Ethernet2
2022 Feb 13 12:01:27 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip ospf area 0.0.0.0
2022 Feb 13 12:01:27 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=ip ospf network point-to-point
2022 Feb 13 12:01:27 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=show session-config diffs
2022 Feb 13 12:01:27 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=commit
2022 Feb 13 12:01:30 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=1 cmd=enable
2022 Feb 13 12:01:31 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=terminal length 0
2022 Feb 13 12:01:31 admin    vty24       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=terminal width 512
2022 Feb 13 12:01:32 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=show running-config
2022 Feb 13 12:01:32 admin    vty22       2001:172:20:20::1 stop   service=shell priv-lvl=15 cmd=configure session ansible_1644753692
